model,RMSE,MAP,NDCG
ALSModel: uid=ALS_0830b19ce54b| rank=5,0.36869138717155947,0.031177691995329684,0.06716920572604965
SVD: k=5,0.7604228716624256,0.06494935320897477,0.12474180524892531
