mean_game_time,votes_helpful
9546,216.0
3029,215.0
574055,214.0
3059,213.0
2074,212.0
1110,211.0
2525,210.0
5164,209.0
498,208.0
7456,207.0
9511,206.0
5565,205.0
4316,204.0
5279,203.0
120799,202.0
47639,201.0
7363,200.0
6509,199.0
25413,198.0
5878,197.0
4766,196.0
2924,195.0
5916,194.0
2327,193.0
48161,192.0
979,191.0
14615,190.0
67299,189.0
4043,188.0
11234,187.0
2120,186.0
6536,185.0
31401,184.0
3602,183.0
124914,182.0
6388,181.0
1304,180.0
10144,179.0
7559,178.0
20507,177.0
9321,176.0
7229,175.0
48255,174.0
13728,173.0
2928,172.0
7249,171.0
8537,170.0
4469,169.0
4381,168.0
5566,167.0
26812,166.0
3443,165.0
7610,164.0
14275,163.0
8495,162.0
26158,161.0
3649,160.0
5793,159.0
31117,158.0
4805,157.0
2283,156.0
1421,155.0
15342,154.0
17307,153.0
11679,152.0
3847,151.0
2951,150.0
152572,149.0
13104,148.0
4318,147.0
10764,146.0
10976,145.0
1211,144.0
7698,143.0
4554,142.0
47226,141.0
18354,140.0
10252,139.0
16890,138.0
24793,137.0
4595,136.0
8011,135.0
5038,134.0
24542,133.0
11993,132.0
3148,131.0
17757,130.0
6857,129.0
14559,128.0
4344,127.0
1739,126.0
18242,125.0
3641,124.0
9427,123.0
21457,122.0
4047,121.0
4555,120.0
23233,119.0
17137,118.0
10049,117.0
8100,116.0
25550,115.0
53571,114.0
32534,113.0
10563,112.0
7257,111.0
43479,110.0
3775,109.0
9380,108.0
3154,107.0
8225,106.0
3513,105.0
16812,104.0
4855,103.0
10276,102.0
5277,101.0
12255,100.0
26107,99.0
4869,98.0
5022,97.0
6077,96.0
8206,95.0
9605,94.0
4505,93.0
9575,92.0
9655,91.0
5319,90.0
4740,89.0
7335,88.0
6416,87.0
21497,86.0
42480,85.0
6439,84.0
13672,83.0
6387,82.0
24227,81.0
12154,80.0
12912,79.0
4099,78.0
10313,77.0
9404,76.0
25125,75.0
28336,74.0
53703,73.0
14906,72.0
8281,71.0
8452,70.0
17924,69.0
5708,68.0
18703,67.0
5401,66.0
15523,65.0
7923,64.0
20369,63.0
11164,62.0
17619,61.0
19497,60.0
20397,59.0
13943,58.0
22570,57.0
20830,56.0
9448,55.0
35142,54.0
10615,53.0
7602,52.0
12022,51.0
7027,50.0
5666,49.0
11314,48.0
10612,47.0
13513,46.0
6772,45.0
22207,44.0
10461,43.0
9633,42.0
8180,41.0
12066,40.0
6437,39.0
7981,38.0
22159,37.0
12816,36.0
8588,35.0
11527,34.0
7766,33.0
7342,32.0
6950,31.0
13656,30.0
7938,29.0
6696,28.0
10656,27.0
7026,26.0
4061,25.0
10952,24.0
6559,23.0
9472,22.0
11046,21.0
7651,20.0
7444,19.0
9419,18.0
9253,17.0
7709,16.0
9012,15.0
7481,14.0
8231,13.0
8047,12.0
6255,11.0
9064,10.0
7712,9.0
7693,8.0
7420,7.0
9234,6.0
9178,5.0
8637,4.0
9104,3.0
8378,2.0
7674,1.0
6599,0.0
